Provider,Plan_Name,Pricing_Model,Monthly_Price,Annual_Monthly_Price,Annual_Total_Cost,Monthly_vs_Annual_Savings,Billing_Options,Free_Trial,Users_Included,Phone_Numbers_Included,Extensions_Included,Calling_Minutes,Local_Numbers,TollFree_Numbers,International_Calling,Call_Forwarding,Voicemail,Voicemail_Transcription,Call_Recording,Custom_Greetings,Auto_Attendant_IVR,Call_Screening,Conference_Calling,Call_Analytics_Reporting,SMS_Messaging,MMS_Messaging,Bulk_Messaging,Mobile_App,Desktop_App,Web_App,VoIP_WiFi_Calling,HD_Voice,CRM_Integration,Other_Integrations,Security_Features,Multi_Line_Support,Number_Porting,Additional_Numbers_Addon,Additional_Extensions_Addon,Best_For,Source_URL,Scraped_At,Notes
"Grasshopper","True Solo","Flat-rate","$26/mo","$14/mo","$168/yr","Save ~46%","Monthly or Annual","Yes","1","1","1","Unlimited","Yes","Yes","Add-on","Yes","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Ruby live receptionist (add-on)","Call screening; spam protection","Add-on","Yes","$9/mo each","N/A","Solo entrepreneurs needing a professional business number","https://grasshopper.com/pricing","2026-03-23 18:28 UTC","USD pricing. 7-day free trial. SMS requires $19.50 one-time registration + $1.50/mo fee."
"Grasshopper","Solo Plus","Flat-rate","$45/mo","$25/mo","$300/yr","Save ~44%","Monthly or Annual","Yes","Unlimited","1","3","Unlimited","Yes","Yes","Add-on","Yes","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Ruby live receptionist (add-on)","Call screening; spam protection","Add-on","Yes","$9/mo each","$3/mo each","Small teams sharing one inbox with no per-user cost","https://grasshopper.com/pricing","2026-03-23 18:28 UTC","USD pricing. 7-day free trial. SMS requires $19.50 one-time registration + $1.50/mo fee."
"Grasshopper","Small Business","Flat-rate","$80/mo","$55/mo","$660/yr","Save ~31%","Monthly or Annual","Yes","Unlimited","4","Unlimited","Unlimited","Yes","Yes","Add-on","Yes","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Ruby live receptionist (add-on)","Call screening; spam protection","Yes","Yes","$9/mo each","N/A","Growing businesses needing multiple lines and extensions","https://grasshopper.com/pricing","2026-03-23 18:28 UTC","USD pricing. 7-day free trial. SMS requires $19.50 one-time registration + $1.50/mo fee."
"Google Voice","Starter","Per-user","$10/user/mo","$10/user/mo","$120/user/yr","No discount","Monthly (via Google Workspace)","No","Unlimited","1 per user","N/A","Unlimited","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Google Workspace suite","Admin controls; SSO","No","Yes","N/A","N/A","Small Google Workspace teams needing a basic virtual number","https://workspace.google.com/intl/en_ca/products/voice/#plans","2026-03-23 18:28 UTC","Requires Google Workspace subscription. USD/user/mo. No annual pricing discount."
"Google Voice","Standard","Per-user","$20/user/mo","$20/user/mo","$240/user/yr","No discount","Monthly (via Google Workspace)","No","Unlimited","1 per user","N/A","Unlimited","Yes","No","Yes","Yes","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Google Workspace; SIP Link; eDiscovery","Admin controls; SSO","Yes","Yes","N/A","N/A","Mid-size businesses needing IVR, ring groups, and ad-hoc recording","https://workspace.google.com/intl/en_ca/products/voice/#plans","2026-03-23 18:28 UTC","Requires Google Workspace subscription. USD/user/mo. No annual pricing discount."
"Google Voice","Premier","Per-user","$30/user/mo","$30/user/mo","$360/user/yr","No discount","Monthly (via Google Workspace)","No","Unlimited","1 per user","N/A","Unlimited","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Google Workspace; SIP Link; eDiscovery; BigQuery","Admin controls; SSO; eDiscovery","Yes","Yes","N/A","N/A","Enterprise teams requiring compliance, eDiscovery, and BigQuery","https://workspace.google.com/intl/en_ca/products/voice/#plans","2026-03-23 18:28 UTC","Requires Google Workspace subscription. USD/user/mo. No annual pricing discount."
"RingCentral","Core","Per-user","$40/user/mo","$30/user/mo","$360/user/yr","Save 25%","Monthly or Annual","Add-on","Unlimited","1 per user","Unlimited","Unlimited","Yes","Yes","Add-on","Yes","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Microsoft 365, Google Workspace","E2EE (beta); E911; SSO; admin controls","Yes","Yes","Contact sales","N/A","Small businesses needing reliable cloud VoIP at low per-user cost","https://www.ringcentral.com/ca/en/office/plansandpricing.html","2026-03-23 18:28 UTC","USD/user/mo for Canada. Toll-free minutes pooled: 100 min/mo. SMS: 25/user/mo"
"RingCentral","Advanced","Per-user","$45/user/mo","$35/user/mo","$420/user/yr","Save 22%","Monthly or Annual","Add-on","Unlimited","1 per user","Unlimited","Unlimited","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Microsoft 365, Google Workspace, Salesforce, HubSpot, Zendesk, Slack","E2EE (beta); E911; SSO; admin controls","Yes","Yes","Contact sales","N/A","Mid-size teams requiring CRM integrations and advanced call flows","https://www.ringcentral.com/ca/en/office/plansandpricing.html","2026-03-23 18:28 UTC","USD/user/mo for Canada. Toll-free minutes pooled: 1,000 min/mo. SMS: 100/user/mo"
"RingCentral","Ultra","Per-user","$55/user/mo","$45/user/mo","$540/user/yr","Save 18%","Monthly or Annual","Add-on","Unlimited","1 per user","Unlimited","Unlimited","Yes","Yes","Add-on","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Microsoft 365, Google Workspace, Salesforce, HubSpot, Zendesk, Slack","E2EE (beta); E911; SSO; admin controls","Yes","Yes","Contact sales","N/A","Enterprise needing high-volume SMS, deep analytics, and full integrations","https://www.ringcentral.com/ca/en/office/plansandpricing.html","2026-03-23 18:28 UTC","USD/user/mo for Canada. Toll-free minutes pooled: 10,000 min/mo. SMS: 200/user/mo"
"Twilio","Local Voice Calls","Pay-as-you-go","$0.0140   / min","Usage-based","Usage-based","Volume discounts at scale","Pay-as-you-go","Yes","Unlimited","N/A","Unlimited","Per-minute billing","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Salesforce, HubSpot, AWS, Azure, Slack, Dialogflow; open REST API","SRTP/TLS; SOC2; ISO 27001; E911","Yes","Yes","0-1000 Numbers $1.15  / mo each (local)","N/A","Developers building custom voice apps; enterprises needing full API control","https://www.twilio.com/en-us/voice/pricing/ca","2026-03-23 18:28 UTC","Outbound: $0.0140   / min; Inbound: $0.0085  / min. Volume discounts available."
